City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
213,Cidreira,BR,2021-08-15 16:50:12,-30.1811,-50.2056,62.37,82,91,7.34,overcast clouds,0,0
214,Batticaloa,LK,2021-08-15 16:50:13,7.7102,81.6924,81.55,74,100,5.3,overcast clouds,0,0
215,Saint-Augustin,CA,2021-08-15 16:50:13,51.226,-58.6502,65.32,96,100,2.17,overcast clouds,0,0
216,Kahama,TZ,2021-08-15 16:50:13,-3.8333,32.6,75.54,28,71,4.59,broken clouds,0,0
217,Chumikan,RU,2021-08-15 16:50:14,54.7183,135.315,62.89,81,87,10.87,overcast clouds,0,0
218,Plettenberg Bay,ZA,2021-08-15 16:50:14,-34.0527,23.3716,57.72,82,0,5.95,clear sky,0,0
219,Provideniya,RU,2021-08-15 16:50:15,64.3833,-173.3,50.31,79,100,2.26,light rain,0,0
220,Genhe,CN,2021-08-15 16:50:15,50.7833,121.5167,60.46,78,100,0.36,overcast clouds,0,0
221,Qaanaaq,GL,2021-08-15 16:50:16,77.484,-69.3632,38.44,99,100,6.87,light rain,0,0
222,San Cristobal,VE,2021-08-15 16:50:16,7.7669,-72.225,77.18,48,75,6.64,broken clouds,0,0
223,Alirajpur,IN,2021-08-15 16:50:16,22.3031,74.3546,79.65,69,71,5.86,broken clouds,0,0
224,Dubuque,US,2021-08-15 16:50:17,42.4833,-90.8668,79.56,47,1,6.91,clear sky,0,0
225,Pala,TD,2021-08-15 16:50:17,9.3642,14.9046,77.92,81,89,1.77,light rain,0,0
226,Makarska,HR,2021-08-15 16:50:18,43.2969,17.0178,95.54,55,1,2.66,clear sky,0,0
227,Padang,ID,2021-08-15 16:50:18,-0.9492,100.3543,77.18,92,100,4.38,overcast clouds,0,0
228,Buala,SB,2021-08-15 16:50:18,-8.145,159.5921,79.83,83,83,7.67,light rain,0,0
229,Umm Lajj,SA,2021-08-15 16:50:19,25.0213,37.2685,89.53,59,7,7.83,clear sky,0,0
230,Sibolga,ID,2021-08-15 16:50:19,1.7427,98.7792,76.59,90,100,3.33,moderate rain,0,0
231,Torbay,CA,2021-08-15 16:50:20,47.6666,-52.7314,81.37,78,40,3.44,light rain,0,0
232,Neuquen,AR,2021-08-15 16:50:20,-38.9516,-68.0591,53.49,43,0,0.0,light rain,0,0
233,Nanfeng,CN,2021-08-15 16:50:20,23.7434,111.7959,77.68,95,82,1.54,broken clouds,0,0
234,Kiruna,SE,2021-08-15 16:50:21,67.8557,20.2251,56.32,67,0,9.22,clear sky,0,0
235,Sibu,MY,2021-08-15 16:50:21,2.3,111.8167,77.31,94,40,2.3,scattered clouds,0,0
236,Fortuna,US,2021-08-15 16:50:22,40.5982,-124.1573,60.66,96,90,4.61,overcast clouds,0,0
237,Soyo,AO,2021-08-15 16:50:22,-6.1349,12.3689,73.94,84,55,11.45,broken clouds,0,0
238,Nokaneng,BW,2021-08-15 16:50:22,-19.6667,22.2667,72.81,22,0,7.99,clear sky,0,0
